Component,Use case,Source,Threat,Risk Response,Inherent Risk,Current Risk,Countermeasure progress,Weakness tests,Countermeasure tests,Projected Risk,Owner,MITRE reference,STRIDE-LM
Storage,Information Disclosure,Created by Rules Engine,An attacker exploits weak access controls to retrieve sensitive secrets,Planned mitigation: 0%. Mitigated: 0%. Unmitigated: 100%.,Critical,Critical,0%,Not tested,Not tested,Critical,sohaib  khan,ATT&CK Enterprise - T1552 - Unsecured Credentials,Information Disclosure
Encryption,Tampering,Created by Rules Engine,Attacker exploit misconfiguration and Vulnerable Third-Party,Planned mitigation: 0%. Mitigated: 0%. Unmitigated: 100%.,High,High,0%,Not tested,Not tested,High,sohaib  khan,ATT&CK Enterprise - T1068 - Exploitation for Privilege Escalation||ATT&CK Enterprise - T1210 - Exploitation of Remote Services||ATT&CK Enterprise - T1485 - Data Destruction||ATT&CK Enterprise - T1548.002 - Bypass User Account Control||ATT&CK Enterprise - T1553.004 - Install Root Certificate||ATT&CK Enterprise - T1562.001 - Disable or Modify Tools||ATT&CK Enterprise - T1608.001 - Upload Malware,Information Disclosure||Tampering
Backend,Tampering,Created by Rules Engine,Attacker exploit misconfiguration and Vulnerable Third-Party,Planned mitigation: 0%. Mitigated: 0%. Unmitigated: 100%.,High,High,0%,Not tested,Not tested,High,sohaib  khan,ATT&CK Enterprise - T1068 - Exploitation for Privilege Escalation||ATT&CK Enterprise - T1210 - Exploitation of Remote Services||ATT&CK Enterprise - T1485 - Data Destruction||ATT&CK Enterprise - T1548.002 - Bypass User Account Control||ATT&CK Enterprise - T1553.004 - Install Root Certificate||ATT&CK Enterprise - T1562.001 - Disable or Modify Tools||ATT&CK Enterprise - T1608.001 - Upload Malware,Information Disclosure||Tampering
Authentication,Elevation of Privilege,Created by Rules Engine,Attackers access the system taking advantage of broken authentication,Planned mitigation: 0%. Mitigated: 0%. Unmitigated: 100%.,Critical,Critical,0%,Not tested,Not tested,Critical,sohaib  khan,ATT&CK Enterprise - T1552 - Unsecured Credentials||ATT&CK Enterprise - T1003 - OS Credential Dumping||ATT&CK Enterprise - T1550 - Use Alternate Authentication Material||ATT&CK Enterprise - T1190 - Exploit Public-Facing Application||ATT&CK Enterprise - T1110 - Brute Force||ATT&CK Enterprise - T1068 - Exploitation for Privilege Escalation,Elevation of Privilege
HTML/CSS/JS,Spoofing,Created by Rules Engine,Attackers can deceive users into clicking on hidden elements,Planned mitigation: 0%. Mitigated: 0%. Unmitigated: 100%.,High,High,0%,Not tested,Not tested,High,sohaib  khan,ATT&CK Enterprise - T1189 - Drive-by Compromise||ATT&CK Enterprise - T1566.002 - Spearphishing Link||ATT&CK Enterprise - T1562 - Impair Defenses||ATT&CK Enterprise - T1566 - Phishing||ATT&CK Enterprise - T1564.003 - Hidden Window||ATT&CK Enterprise - T1564 - Hide Artifacts||ATT&CK Enterprise - T1204 - User Execution,Spoofing
Frontend,Spoofing,Created by Rules Engine,Attackers can deceive users into clicking on hidden elements,Planned mitigation: 0%. Mitigated: 0%. Unmitigated: 100%.,High,High,0%,Not tested,Not tested,High,sohaib  khan,ATT&CK Enterprise - T1189 - Drive-by Compromise||ATT&CK Enterprise - T1566.002 - Spearphishing Link||ATT&CK Enterprise - T1562 - Impair Defenses||ATT&CK Enterprise - T1566 - Phishing||ATT&CK Enterprise - T1564.003 - Hidden Window||ATT&CK Enterprise - T1564 - Hide Artifacts||ATT&CK Enterprise - T1204 - User Execution,Spoofing
HTML/CSS/JS,Tampering,Created by Rules Engine,Attackers can exploit vulnerabilities in third-party dependencies leading to security breaches,Planned mitigation: 0%. Mitigated: 0%. Unmitigated: 100%.,High,High,0%,Not tested,Not tested,High,sohaib  khan,ATT&CK Enterprise - T1195 - Supply Chain Compromise||ATT&CK Enterprise - T1203 - Exploitation for Client Execution||ATT&CK Enterprise - T1210 - Exploitation of Remote Services||ATT&CK Enterprise - T1199 - Trusted Relationship,Tampering
Frontend,Tampering,Created by Rules Engine,Attackers can exploit vulnerabilities in third-party dependencies leading to security breaches,Planned mitigation: 0%. Mitigated: 0%. Unmitigated: 100%.,High,High,0%,Not tested,Not tested,High,sohaib  khan,ATT&CK Enterprise - T1195 - Supply Chain Compromise||ATT&CK Enterprise - T1203 - Exploitation for Client Execution||ATT&CK Enterprise - T1210 - Exploitation of Remote Services||ATT&CK Enterprise - T1199 - Trusted Relationship,Tampering
HTML/CSS/JS,Tampering,Created by Rules Engine,Attackers can inject malicious scripts into web pages viewed by other users,Planned mitigation: 0%. Mitigated: 0%. Unmitigated: 100%.,High,High,0%,Not tested,Not tested,High,sohaib  khan,ATT&CK Enterprise - T1189 - Drive-by Compromise||ATT&CK Enterprise - T1203 - Exploitation for Client Execution||ATT&CK Enterprise - T1059 - Command and Scripting Interpreter||ATT&CK Enterprise - T1059.007 - JavaScript||ATT&CK Enterprise - T1219 - Remote Access Software||ATT&CK Enterprise - T1210 - Exploitation of Remote Services||ATT&CK Enterprise - T1566 - Phishing||ATT&CK ICS - T0853 - Scripting,Tampering
Frontend,Tampering,Created by Rules Engine,Attackers can inject malicious scripts into web pages viewed by other users,Planned mitigation: 0%. Mitigated: 0%. Unmitigated: 100%.,High,High,0%,Not tested,Not tested,High,sohaib  khan,ATT&CK Enterprise - T1189 - Drive-by Compromise||ATT&CK Enterprise - T1203 - Exploitation for Client Execution||ATT&CK Enterprise - T1059 - Command and Scripting Interpreter||ATT&CK Enterprise - T1059.007 - JavaScript||ATT&CK Enterprise - T1219 - Remote Access Software||ATT&CK Enterprise - T1210 - Exploitation of Remote Services||ATT&CK Enterprise - T1566 - Phishing||ATT&CK ICS - T0853 - Scripting,Tampering
